Product Name,Product ID,Category,How likely are you to recommend this product?,"Complete - Yes/No. If No, please provide rationale","Comments"
ASDA SUSHI VEGSNK 67G,100394318,MAIN,6,Yes,"A cheap veggie sushi pack for people grabbing lunch on the go. It is nothing special, and to be fair veg sushi rarely is next to the fish packs. It is quite salty too. What I cannot understand is the state of the product page. No ratings, barely any description and poor pictures. Nobody is going to buy sushi they cannot see. Fix the page and the searchability before worrying about anything else."
ASDA Citrus Fragrance Anti-Dandruff Shampoo 500ml,100114959,HAIR CARE,5,Yes,"A cheaper alternative, however, I could not notice any visible difference to brands"
ASDA Everyday 240 Tea Bags 696g,100332859,TEA,8,Yes,"A classic teabag, not too strong  but still a pleasant taste. Easy to find online and in store."
COOK by ASDA Cook Fennel Seeds 37g,100141905,"SEASONINGS, HERBS & SPICES",10 = Extremely likely,Yes,"A colleague took these home to use and the feedback was very good, no issues"
ASDA Plant Based Soya Unsweetened 1 Litre,100166602,FREE FROM,3,Yes,"a couple of colleagues was willing to try this product as it is free from but from them they said it wasnt nice, had a weird flavour and was not for them, the packaging was bland and grey which did not stand out and it did not look appealling at all, i would not buy however the picture was cool and made us give it a 3"
Asda Hero Hero Sensitive Jelly Selection Meaty & Poultry Adult Dog 6 x 400g (2.4kg),100147019,WET DOG,8,Yes,"A couple of dog owners within the team, both said they didnt purchase that product but would giv eit a try following the review. "
ASDA Beef Ravioli in a Rich Tomato Sauce 400g,100110189,BEANS AND PASTA,8,Yes,A cupboard staple and handy to have in for an emergency. Thicker sauce than the most famous branded tinned ravioli which I prefer.�
ASDA Sensitive Toothpaste 100ml,100137239,DENTAL,8,Yes,"A decent cheap toothpaste. Ideal for holidays or trips away. Is it too cheap as when it comes to dental care, in my opinion you tend to get what you pay for?"
The BAKERY at ASDA The Bakery 6 Plain Mini Naans 282g,100000954,BAKERY OCCASIONS,8,Yes,A decent Naan bread. I would recommend it. Not much else to say.
JUST ESSENTIALS by ASDA Orange Juice Drink 1 Litre,100508666,JUICES,7,Yes,A decent orange juice from concentrate. Tasted OK and quenched a thirst.
Exceptional by Asda Ground Colombian Roast Coffee 227g,100110066,COFFEE,7,Yes,"A decent product that could benefit from a slightly lower price point, as doesn't come across as premium as the pricepoint."
ASDA Crunchy & Fragrant Vine Ripened Tomatoes,100394050,WH SALADS,9,Yes,A decent tasty tomato.Packaging is fine and functional.
ASDA Chilli Con Carne with Rice 400g,100363988,READY MEALS,7,Yes,"A decentish quick meal with a good balance of tomato, beef and spice. I probably wouldnt re-purchase, but preference rather than a problem with the product."
ASDA BOWL DESSERT BLKFST 500G,100000672,CAKES,9,Yes,A different product very tasty
ASDA Reduced Fat Spreadable Slightly Salted 500g,100171072,BUTTER and SPREADS,9,Yes,A few colleagues buy this and find the product very good
